FID,Id,作物,半径,备注,x,y
0,1,玉米,3, ,12500.7001953,-3286.5600586
1,2,玉米,3, ,4691.4902344,-16000.7998047
2,3,玉米,3, ,4567.2099609,-15911.5996094
3,4,玉米,3, ,4706.9799805,-15837.4003906
4,5,玉米,3, ,4726.1298828,-15798.2998047
5,6,玉米,3, ,4902.5698242,-15855.0000000
6,7,玉米,3, ,4880.9702148,-15751.5000000
7,8,玉米,3, ,4819.4399414,-15760.7998047
8,9,玉米,3, ,4516.6801758,-16036.2998047
9,10,玉米,3, ,4234.0297852,-17572.9003906
10,11,玉米,3, ,4436.0297852,-16599.3007813
11,12,玉米,3, ,1851.8299561,-16093.4003906
12,13,玉米,3, ,2325.1000977,-16476.5000000
13,14,玉米,3, ,2108.1799316,-16865.3007813
14,15,玉米,3, ,1394.0500488,-16775.1992188
15,16,玉米,3, ,1256.0200195,-16761.0996094
16,17,玉米,3, ,1010.9299927,-16016.0000000
17,18,玉米,3, ,1596.8800049,-15656.7998047
18,19,玉米,3, ,1460.2500000,-14891.9003906
19,20,玉米,3, ,2260.3000488,-15082.0996094
20,21,玉米,3, ,2220.8601074,-15082.0996094
21,22,玉米,3, ,2184.2399902,-14525.7001953
22,23,玉米,3, ,1470.1099854,-13779.2001953
23,24,玉米,3, ,1223.6199951,-13683.4003906
24,25,玉米,3, ,692.5989990,-13691.9003906
25,26,玉米,3, ,1847.5999756,-13515.7998047
26,27,玉米,3, ,2002.5400391,-13593.2998047
27,28,玉米,3, ,1739.1400146,-14076.4003906
28,29,玉米,3, ,1510.9599609,-13987.7001953
29,30,玉米,3, ,1558.8499756,-13994.7001953
30,31,玉米,3, ,9091.6201172,-6641.3300781
31,32,玉米,3, ,9211.3603516,-6366.7597656
32,33,玉米,3, ,9372.3798828,-6300.7001953
33,34,玉米,3, ,9603.5898438,-6672.2900391
34,35,玉米,3, ,10229.0996094,-7588.8901367
35,36,玉米,3, ,8338.1103516,-7279.2299805
36,37,玉米,3, ,8245.2099609,-7246.2001953
37,38,玉米,3, ,8548.6796875,-6432.8198242
38,39,玉米,3, ,14497.0000000,-11391.0000000
39,40,玉米,3, ,14901.0996094,-11655.5996094
40,41,玉米,3, ,14912.7998047,-11376.5996094
41,42,玉米,3, ,14224.2001953,-11426.0996094
42,43,玉米,3, ,14296.2001953,-11470.2001953
43,44,玉米,3, ,14337.5996094,-11210.9003906
44,45,玉米,3, ,14520.4003906,-11056.0996094
45,46,玉米,3, ,15640.4003906,-15388.5996094
46,47,玉米,3, ,15623.2001953,-15344.2998047
47,48,玉米,3, ,15333.9003906,-14916.7001953
48,49,玉米,3, ,15683.7998047,-15429.2998047
49,50,玉米,3, ,15561.7998047,-15414.7998047
50,51,玉米,3, ,15375.5000000,-15652.5996094
51,52,玉米,3, ,15853.7998047,-14873.2998047
52,53,玉米,3, ,10720.4003906,-13542.7001953
53,54,玉米,3, ,10721.2998047,-13131.0000000
54,55,玉米,3, ,10773.7998047,-12913.7001953
55,56,玉米,3, ,10716.5996094,-12895.5996094
56,57,玉米,3, ,10462.0996094,-12920.4003906
57,58,玉米,3, ,10281.0000000,-12906.0996094
58,59,玉米,3, ,10129.5000000,-13009.0000000
59,60,玉米,3, ,10084.7001953,-13046.2001953
60,61,玉米,3, ,9755.9296875,-13114.7998047
61,62,玉米,3, ,9696.8398438,-13299.7001953
62,63,玉米,3, ,9865.5195313,-13640.9003906
63,64,玉米,3, ,9852.1796875,-13605.5996094
64,65,玉米,3, ,10217.2001953,-13404.5000000
65,66,玉米,3, ,10051.4003906,-13370.2001953
66,67,玉米,3, ,10140.9003906,-13305.4003906
67,68,玉米,3, ,10151.4003906,-13625.5996094
68,69,玉米,3, ,12229.0996094,-17372.1992188
69,70,玉米,3, ,12286.0996094,-17431.5996094
70,71,玉米,3, ,11967.4003906,-17491.5996094
71,72,玉米,3, ,11919.5000000,-17237.0996094
72,73,玉米,3, ,12260.7001953,-17197.0996094
73,74,玉米,3, ,12412.7001953,-17127.4003906
74,75,玉米,3, ,12457.0000000,-17152.3007813
75,76,玉米,3, ,11904.4003906,-16774.1992188
76,77,玉米,3, ,12203.7001953,-16605.8007813
77,78,玉米,3, ,12394.5000000,-16398.0000000
78,79,玉米,3, ,12147.4003906,-16236.2001953
79,80,玉米,3, ,12141.2998047,-16264.0996094
80,81,玉米,3, ,12415.7998047,-16510.0996094
81,82,玉米,3, ,12437.0000000,-16490.6992188
82,83,玉米,3, ,12092.2001953,-16178.7001953
83,84,玉米,3, ,11456.0996094,-16152.0000000
84,85,玉米,3, ,11421.5000000,-16173.7998047
85,86,玉米,3, ,11416.7001953,-16125.2998047
86,87,玉米,3, ,11258.5000000,-16203.5000000
87,88,玉米,3, ,11047.0996094,-16121.7001953
88,89,玉米,3, ,11113.0996094,-16066.5996094
89,90,玉米,3, ,10876.2001953,-15872.0996094
90,91,玉米,3, ,10498.7998047,-15941.7998047
91,92,玉米,3, ,10602.4003906,-16071.4003906
92,93,玉米,3, ,10580.0000000,-16047.7998047
93,94,玉米,3, ,11147.7001953,-15337.0996094
94,95,玉米,3, ,10961.0996094,-15263.2001953
95,96,玉米,3, ,10879.9003906,-15204.4003906
96,97,玉米,3, ,10798.7001953,-15284.4003906
97,98,玉米,3, ,11259.2001953,-15173.5000000
98,99,玉米,3, ,11248.2998047,-15138.4003906
99,100,玉米,3, ,10894.4003906,-14870.0000000
100,101,玉米,3, ,10921.0996094,-14819.7001953
101,102,玉米,3, ,10989.5000000,-14773.0000000
102,103,玉米,3, ,10825.4003906,-14917.2001953
103,104,玉米,3, ,10702.4003906,-15143.2001953
104,105,玉米,3, ,10761.0996094,-15191.7001953
105,106,玉米,3, ,10597.5996094,-14805.2001953
106,107,玉米,3, ,10580.0000000,-14816.0996094
107,108,玉米,3, ,10421.7998047,-15064.5000000
108,109,玉米,3, ,10455.7998047,-15154.7001953
109,110,玉米,3, ,10765.4003906,-14269.5996094
